id	text	author	date
"285582191881232384"	"human powered public transit #vietnam http://t.co/8g5eDBHw"	"otherswise"	"2012-12-31 03:04:35"
"285581861101649921"	"RT @_AnNgo: The summer I went to Vietnam I sat on that plane, I watched titanic, and I cried. Like a mother fucker -_- god dammit."	"lin_dinh"	"2012-12-31 03:03:16"
"285581596726276096"	"Super dragon from hue vietnam please see his head lol http://t.co/Ty26XssB"	"GAdv_tOmp"	"2012-12-31 03:02:13"
"285581509719633920"	"@Gamblingblues I love his show  Luke Nguyen's Vietnam.  I bet it is awesome."	"777GMoney"	"2012-12-31 03:01:52"
"285581506171248640"	"#BestMemories2012 Meeting my vietnam and England cousins for the first time &lt;3"	"Sariiinuu"	"2012-12-31 03:01:51"
"285581124116283392"	"@SmileAlways_x i will never be able to live there. I can't even visit Vietnam. Its just too hot."	"chris_nguyen08"	"2012-12-31 03:00:20"
"285581055438766080"	"My mom's hat. From Vietnam . http://t.co/1ElZOYsh"	"guetpeng"	"2012-12-31 03:00:04"
"285581048883056641"	"My mother tried to send Me to Vietnam to make a man out of me... I was 12"	"tristanpugh"	"2012-12-31 03:00:02"
"285581021674602496"	"http://t.co/MeZDRDNo - Remember, Vietnam started with "advisers." And also, Obama kept us out of war."	"countenanceblog"	"2012-12-31 02:59:56"
"285580755948670977"	"Today I met this old man in the rehab center. He fought in Germany, Vietnam and Korea for his country!"	"herzende"	"2012-12-31 02:58:52"
"285580720133525504"	"@aom_sushar So beautiful ka. Hope you will come to Vietnam. We will take you to more beautiful places ka ^^"	"Money_Supperman"	"2012-12-31 02:58:44"
"285580518702067713"	"@NC_Prime In the lead up to and during Vietnam...not a great example for his argument. The whole article is shite."	"BareftStratgist"	"2012-12-31 02:57:56"
"285580451576418305"	"RT @SiwonHeart407: @siwon407 Have a joyful day,oppa :) Hope you have time with your family.And take care,pls :) Big hug from Vietnam http://t.co/XkHxDzfI :x"	"HelmaTrianda"	"2012-12-31 02:57:40"
"285580353857536001"	"RT @Doc_JJK: The only Vietnam Vets for John F. Kerry were the North Vietnamese and Viet Cong. Fake, phony and back-stabbing fraud."	"ashewhole"	"2012-12-31 02:57:16"
"285580243333419008"	"@elysandraQ hi....i'm from VietNam...i''m your fan..my english is not good but i see you're amazing ..can you follow me?...ths so much..."	"babyicecream105"	"2012-12-31 02:56:50"
"285580110340423680"	"RT @Doc_JJK: The only Vietnam Vets for John F. Kerry were the North Vietnamese and Viet Cong. Fake, phony and back-stabbing fraud."	"michaeltasti"	"2012-12-31 02:56:18"
"285580074558824449"	"@brophiex threw Vietnam at me today :("	"BrianFortak"	"2012-12-31 02:56:10"
"285580006741127168"	"PROMO SAIGON VIETNAM 3D2N only IDR.3,150,000/pax all in by Vietnam Air,Every Tuesday &amp; Saturday Departure,Validity : Jan 05-Mar 31!"	"raja_tiket"	"2012-12-31 02:55:54"
"285579840168546304"	"RT @cedricvalera: Exploring Myanmar, Chilling around in Dalat, Vietnam, a week of adventure with @PHL360  #my2012bestadventures"	"travelfactor"	"2012-12-31 02:55:14"
"285579833164066816"	"RT @naingZaw90sKid: @benfezloera imma fucking survivor ben! The Vietnam war can suck my dick."	"benfezloera"	"2012-12-31 02:55:12"
"285579793506893824"	"Daesung Vietnam Co., Ltd.'s workers back to work at http://t.co/uoJ0Q3CJ"	"TalkVietnamBuzz"	"2012-12-31 02:55:03"
"285579577970003968"	"@Syd_in_da_house stop stealing my quotes . "what i have to say about the vietnam war________________and thats what i have to say bout that."	"shortstack202"	"2012-12-31 02:54:11"
"285579571724705792"	"@Drag0nista Menzies said US had requested Australian troops to Vietnam but in fact Menzies offered. I think Hawke and Iraq War I the same"	"strom_m"	"2012-12-31 02:54:10"
"285579559745777664"	"@DianaFlemmingNL cruel- the Vietnam War 1968"	"morgankelly77"	"2012-12-31 02:54:07"
"285579527340568576"	"Exploring Myanmar, Chilling around in Dalat, Vietnam, a week of adventure with @PHL360  #my2012bestadventures"	"cedricvalera"	"2012-12-31 02:53:59"
"285579501361037312"	"There are French boys EVERYWHERE in Vietnam. I'm in heaven."	"jessssykahh"	"2012-12-31 02:53:53"
"285579406838218752"	"@elysandraQ hi....i'm from VietNam...i''m your fan..my english is not good but i see you're amazing ..can you follow me?...ths so much...."	"babyicecream105"	"2012-12-31 02:53:31"
